site,mean,median
"bigshine.com.sg
",240.614,229.0
"bintanglogistics.com
",51.961,45.35
"blacknegative.com
",132.034,120.0
"blk71.com
",34.063,27.9
"blkj.agency
",42.869,38.1
"blockstudios.net
",38.327,31.65
"bluesand.com
",83.741,76.85
"bokepanda.com
",70.179,61.3
"boloneyewear.com.sg
",44.503,39.0
"boonsiewhonda.com.sg
",245.200,237.0
"boyden.com
",36.490,29.7
"brazilianzouk.sg
",246.574,239.0
"brightharboradvisors.com
",78.378,73.2
"britcap.com
",46.097,40.8
"btcililian.org
",36.140,29.25
"bubblesoccer.sg
",251.119,241.0
"buddquotefortheday.blogspot.com
",21.942,15.5
"bumigrp.com
",70.860,62.4
"burhaniacrylics.net
",38.847,32.3
"buttonbadgefactory.in
",34.347,27.55
"bwxltd.com
",258.138,253.0
"cambriachicago.com
",51.565,28.5
"candyempire.com.sg
",41.717,32.849999999999994
"canyons.jp
",179.128,171.0
"capitalandmarketing.com
",121.062,117.0
"capstonepartnerslp.com
",31.631,25.3
"castel.jp
",186.168,178.0
"catalo.com.hk
",233.885,222.0
"caycanhvietnam.com
",273.940,267.0
"cccat.co
",75.564,69.5
"ccm.com.sg
",252.029,246.0
"ccpltd.net
",104.183,97.7
"cebile.com
",122.453,102.0
"cedelegroup.com
",237.888,233.0
"chapmancg.com
",33.696,27.6
"chartico.com
",106.747,103.0
"charty.live
",125.966,120.0
"chenkangwellness.com
",37.583,32.2
"cherryaffairs.com
",32.702,27.95
"chinagfw.org
",21.235,15.9
"chinambn.com
",254.674,248.0
"chinazyycw.com
",236.159,226.0
"chrischai.com
",36.135,31.9
"cityballetacademy.com
",271.603,238.0
"citysidesrq.com
",72.917,62.2
"cjero.com
",240.939,236.0
"clubrainbow.org
",36.497,31.7
"cohenbrothers.eu
",34.584,25.3
"coleka.com
",118.576,105.0
"comfortdelgro.sharepoint.com
",17.559,15.5
"complete.com.sg
",238.283,233.0
"connectupz.com
",37.130,33.4
"conquerequipment.com
",75.722,56.0
"converse.com.sg
",253.864,237.0
"coolcats.sg
",245.903,237.0
"cosmoprof.com.sg
",275.915,266.0
"cpbits.org
",126.769,119.0
"creadev.com
",30.093,26.6
"creation.sg
",39.424,31.95
"cubiq.org
",127.163,119.0
"cutiebabydiapers.com
",33.073,27.5
"cutteraviation.com
",72.617,67.1
"cyclecarriage.com
",97.988,90.7
"cycletoursglobal.com
",39.013,27.4
"dacc.co.kr
",223.776,213.0
"dadumaster.in
",41.400,29.95
"dailyhoroscopes.com
",64.569,37.9
"datarecoverysingapore.org
",43.467,31.2
"davaoairport.com
",129.876,125.0
