site,min,average,max,sd,Packet loss
"belial0123.tumblr.com
","
",,,,100
"bigshine.com.sg
",225.906,240.614,310.109,20.567,1
"bintanglogistics.com
",43.372,51.961,112.367,15.578,2
"bitorq.com
","
",,,,100
"blacknegative.com
",119.899,132.034,323.308,28.520,1
"blk71.com
",26.195,34.063,96.372,15.356,3
"blkj.agency
",32.250,42.869,111.103,14.733,1
"blockstudios.net
",25.826,38.327,107.919,15.444,0
"bluesand.com
",75.557,83.741,136.488,15.557,46
"bluestaryachting.net
","
",,,,100
"bokepanda.com
",59.871,70.179,135.858,18.346,0
"boloneyewear.com.sg
",26.774,44.503,110.641,18.366,1
"boonsiewhonda.com.sg
",236.267,245.200,315.966,17.749,0
"bowie28.tumblr.com
","
",,,,100
"box.ci
","
",,,,100
"boyden.com
",28.489,36.490,94.094,15.995,1
"brazilianzouk.sg
",238.320,246.574,327.005,16.209,1
"brightharboradvisors.com
",72.283,78.378,134.618,12.663,2
"britcap.com
",39.537,46.097,103.938,13.423,1
"brojgt.tumblr.com
","
",,,,100
"brunosavr.tumblr.com
","
",,,,100
"btcililian.org
",26.686,36.140,126.459,17.233,0
"bubblesoccer.sg
",237.087,251.119,312.542,18.417,47
"buddquotefortheday.blogspot.com
",14.195,21.942,87.821,15.043,1
"buer.cc
","
",,,,100
"bumigrp.com
",60.980,70.860,145.919,17.905,0
"bunkerindex.com
","
",,,,100
"burhaniacrylics.net
",28.455,38.847,117.166,17.866,29
"buttonbadgefactory.in
",26.418,34.347,96.960,17.114,0
"bwxltd.com
",252.120,258.138,335.808,13.506,0
"cambriachicago.com
",26.764,51.565,783.380,100.472,1
"campbell-lutyens.com
","
",,,,100
"canadian-pizza.com
","
",,,,100
"candyempire.com.sg
",31.186,41.717,126.680,18.326,0
"canyons.jp
",170.077,179.128,248.023,15.239,0
"capitalandmarketing.com
",116.138,121.062,174.125,10.660,1
"capstonepartnerslp.com
",23.417,31.631,104.507,16.533,0
"castel.jp
",176.823,186.168,269.972,16.586,0
"catalo.com.hk
",221.360,233.885,477.254,29.657,0
"caycanhvietnam.com
",266.264,273.940,330.695,13.154,0
"cccat.co
",67.937,75.564,148.581,15.456,0
"ccm.com.sg
",244.574,252.029,320.037,13.899,1
"ccpltd.net
",96.142,104.183,162.490,14.906,2
"cde.org.sg
","
",,,,100
"cebile.com
",101.111,122.453,930.078,95.340,0
"cedelegroup.com
",231.877,237.888,310.242,11.737,0
"chamcham.com.tw
","
",,,,100
"chapmancg.com
",26.209,33.696,82.606,13.257,0
"chartico.com
",102.609,106.747,163.970,9.237,2
"charty.live
",119.073,125.966,181.882,12.295,0
"chateau-hotels.com.tw
","
",,,,100
"chenkangwellness.com
",30.427,37.583,95.371,13.071,0
"cherryaffairs.com
",26.769,32.702,94.350,13.439,0
"chinagfw.org
",14.369,21.235,77.482,11.967,1
"chinambn.com
",247.279,254.674,318.231,14.775,0
"chinazyycw.com
",224.767,236.159,331.551,22.587,0
"chioeve.tumblr.com
","
",,,,100
"chrischai.com
",30.677,36.135,94.114,12.070,0
"christies.edu
","
",,,,100
"chubbtravelinsurance.com.sg
","
",,,,100
"cityballetacademy.com
",236.559,271.603,1006.896,123.096,1
"citysidesrq.com
",61.144,72.917,416.267,38.424,1
"cjero.com
",234.473,240.939,296.074,12.044,0
"clownfish-resort.com.tw
","
",,,,100
"clubrainbow.org
",30.262,36.497,88.842,12.856,0
"cmengineering.co.jp
","
",,,,100
"cohenbrothers.eu
",23.854,34.584,140.543,21.926,0
"coleka.com
",100.365,118.576,219.349,26.496,1
"comfortdelgro.sharepoint.com
",14.263,17.559,49.813,5.764,1
"complete.com.sg
",232.459,238.283,297.596,12.933,1
"connectupz.com
",32.354,37.130,108.775,11.207,0
"conquerequipment.com
",54.508,75.722,720.627,71.813,2
"conveno.com
","
",,,,100
"converse.com.sg
",236.048,253.864,953.185,76.656,1
"coolcats.sg
",236.480,245.903,348.132,20.058,36
"cosmoprof.com.sg
",264.330,275.915,344.379,17.672,1
"cpbits.org
",118.749,126.769,205.465,15.307,0
"creadev.com
",25.733,30.093,90.804,10.147,0
"creation.sg
",30.691,39.424,98.261,17.828,0
"cubiq.org
",117.930,127.163,209.218,16.895,0
"culture-shock-tours.com
","
",,,,100
"cutiebabydiapers.com
",26.490,33.073,88.929,13.751,1
"cutteraviation.com
",65.698,72.617,159.991,14.376,1
"cyclecarriage.com
",89.380,97.988,200.692,17.211,1
"cycletoursglobal.com
",25.947,39.013,605.491,59.196,1
"d4ddysbbygirl.tumblr.com
","
",,,,100
"dacc.co.kr
",209.614,223.776,426.793,29.240,5
"dadumaster.in
",26.144,41.400,224.403,35.899,0
"daikin.co.nz
","
",,,,100
"dailyhoroscopes.com
",33.185,64.569,867.754,115.495,46
"datarecoverysingapore.org
",27.199,43.467,200.533,30.351,1
"davaoairport.com
",124.335,129.876,181.750,11.174,1
