site,min,average,max,sd,Packet loss
google.com,13.426,26.81,210.191,24.38,0
google.co.in,14.279,35.192,747.751,80.685,0
google.co.jp,13.248,30.2,164.999,24.583,0
google.com.hk,14.437,24.974,191.081,23.025,0
google.com.br,14.276,24.883,197.829,22.391,0
google.fr,14.476,27.76,214.341,28.718,0
google.ru,14.19,39.732,1012.908,104.041,1
google.co.uk,14.42,48.626,817.64,113.068,0
google.de,13.105,32.825,200.077,33.734,3
google.com.mx,14.186,31.565,260.919,36.137,0
google.ca,14.292,26.023,242.947,27.136,0
google.it,13.471,26.265,230.459,28.126,2
google.com.tr,13.893,50.958,997.648,136.659,0
google.es,14.276,32.526,765.169,75.647,0
google.com.tw,14.132,33.68,222.683,35.738,1
google.co.kr,14.359,23.624,203.386,20.736,0
google.com.au,14.076,34.883,305.077,47.299,2
google.co.id,14.365,23.101,207.036,21.927,0
google.co.th,14.318,29.202,245.498,34.529,1
google.pl,14.798,31.198,184.95,28.976,1
google.com.ar,14.512,30.565,217.048,34.479,0
google.com.eg,14.351,36.987,293.884,49.555,2
google.com.sa,14.799,36.116,261.152,49.493,0
google.com.pk,15.399,25.903,189.587,26.136,1
google.com.ua,14.606,40.888,702.573,85.484,0
google.com.vn,14.678,33.494,233.949,41.301,0
google.co.za,14.584,35.039,261.283,39.4,0
google.co.ve,14.43,30.426,240.14,37.361,0
google.com.sg,14.533,30.942,240.434,33.839,0
google.co.ao,14.493,38.371,917.517,94.39,0
google.az,14.787,47.439,1008.093,130.863,0
google.cn,14.768,29.834,215.631,33.224,0
google.gr,14.61,35.913,319.766,47.974,0
google.com.co,14.43,28.884,227.292,33.976,0
google.com.ph,14.034,29.952,253.943,34.851,0
google.com.pe,14.907,28.593,402.124,43.04,0
google.nl,15.32,27.428,221.956,29.191,0
google.ro,14.479,35.583,240.216,44.541,0
google.com.ng,14.27,43.677,490.097,60.416,0
google.be,14.123,29.233,185.5,31.004,0
google.cl,14.588,41.32,999.053,101.033,0
google.se,14.674,31.078,220.74,34.164,1
google.pt,14.57,52.098,1247.775,131.019,0
google.ae,14.373,26.824,168.145,24.868,0
google.dz,14.735,31.551,190.125,34.838,0
google.ch,14.418,42.435,832.267,99.963,2
google.at,14.694,30.784,225.573,37.296,0
google.co.il,14.5,30.85,179.847,26.879,1
google.cz,14.504,24.63,158.784,20.41,0
googlevideo.com,14.781,36.852,189.743,30.198,0
google.ie,14.719,34.073,715.421,72.824,0
google.kz,14.335,42.128,234.686,47.714,1
google.no,14.552,27.846,237.448,33.1,0
google.hu,14.956,32.697,223.057,38.171,0
google.sk,14.676,30.503,285.511,38.849,0
google.fi,14.721,38.062,246.07,47.481,1
google.com.kw,14.568,37.226,194.302,40.96,0
google.co.nz,14.507,30.711,195.983,28.579,0
google.dk,14.344,34.402,227.079,39.391,0
google.lk,14.482,36.328,290.696,46.851,0
google.com.do,14.918,25.737,113.422,16.716,0
google.rs,14.615,29.24,206.705,32.757,0
google.com.ly,14.532,29.005,216.209,27.782,0
google.bg,14.57,33.594,340.55,45.097,0
google.by,14.42,28.626,270.943,38.987,0
google.tn,14.525,40.435,1206.738,124.495,0
google.hr,14.741,43.369,692.475,90.171,0
google.iq,14.634,25.562,169.652,19.054,0
google.com.ec,14.256,33.777,222.743,29.141,0
google.lt,14.317,34.055,219.402,28.857,1
google.tm,14.386,55.69,767.879,126.935,0
google.com.my,14.422,32.001,571.498,57.993,0
google.com.gt,14.456,33.913,185.282,31.476,0
google.com.mm,14.539,25.59,225.194,24.289,0
google.com.af,14.513,27.017,225.489,29.214,0
google.si,14.53,32.667,715.073,70.685,0
google.com.pr,14.535,39.168,242.257,46.626,0
google.lv,14.315,37.674,883.275,93.696,1
google.ba,14.245,25.121,93.662,17.569,0
google.com.sv,14.082,26.928,86.176,15.26,1
storage.l.googleusercontent.com,14.125,28.549,415.295,43.224,0
google.com.lb,13.966,35.318,313.602,41.388,0
google.co.ma,14.021,26.049,115.789,20.215,1
google.com.bh,14.039,28.25,238.215,28.455,0
google.com.uy,14.325,24.193,94.065,17.227,1
google.com.gh,14.375,30.176,123.182,23.836,0
google.com.py,14.397,41.294,1149.261,116.432,0
google.cm,14.584,22.358,86.1,14.676,0
google.com.kh,14.252,24.424,95.184,16.291,0
google.tt,14.082,26.488,660.055,65.121,1
google.ee,14.241,28.92,684.739,67.397,0
google.com.cu,14.35,35.383,863.943,90.459,4
google.ge,14.394,23.648,82.019,15.195,0
google.com.ni,14.383,21.202,72.425,11.096,0
google.com.cy,14.287,19.464,71.031,9.351,0
google.hn,14.458,23.326,106.906,17.192,0
google.com.np,14.225,27.286,110.515,19.783,0
google.com.bd,14.35,26.44,98.935,18.414,0
google.am,14.272,28.445,125.355,21.459,0
google.com.qa,14.134,25.777,114.353,19.412,0
